4U 0142+61   0146+6145  1 51141.      248.         650.    150.       14.        5.      47
B1737-30     1740-3015 26 53023.5190     .0004    1850.9      .3       2.4        .4     60, also in 59
B1737-30     1740-3015 27 53473.56       .01         0.8      .2       0.2        .2     60
B1737-30     1740-3015 28 54450.19       .01        45.9      .3       4.        1.      60
B1737-30     1740-3015 29 54695.19       .02         3.0      .2       1.                60
B1737-30     1740-3015 30 54810.9        .1          5.2      .3       1.                60
B1737-30     1740-3015 31 54928.6        .1          2.3      .2       1.                60
J1737-3137   1737-3137  1 51559.        2.           4.      1.        0.        1.      60
J1737-3137   1737-3137  2 53040.       12.         234.      1.        2.9        .2     60
J1737-3137   1737-3137  3 54348.        4.        1342.4      .2       1.4        .2     60
B1740-31     1743-3150  1 49572.        1.           2.2      .4       2.        1.      60
J1740+1000   1740+1000  1 54747.6        .1          1.2      .4       1.        1.      60
B1757-24     1801-2451  1 49475.95       .03      1987.9      .3       4.6        .1     60, also in 54
B1757-24     1801-2451  2 50651.44       .03      1247.4      .3       4.7        .2     60, also in 54
B1757-24     1801-2451  3 52054.74       .07      3755.8      .4       6.8        .1     60
B1757-24     1801-2451  4 53033.25       .02        17.4      .2       1.4        .1     60
B1757-24     1801-2451  5 54661.        2.        3101.      1.        9.3        .1     60
B1758-03     1801-0357  1 48000.        1.           3.1      .1       2.        2.      60, also in 29
B1758-23     1801-2304  1 46907.       21.         216.3      .2      -0.5        .1     60, also in 27
B1758-23     1801-2304  2 47855.       24.         230.7      .3      -0.3        .2     60, also in 27
B1758-23     1801-2304  3 48453.95      4.         348.      1.        0.        2.      60, also in 54
B1758-23     1801-2304  4 49701.7        .3         66.      2.        2.        2.      60, also in 54
B1758-23     1801-2304  5 50055.3        .5         22.      1.       -2.        1.      60, also in 29
B1758-23     1801-2304  6 50363.06       .02        81.      1.        2.        2.      60, also in 29
B1758-23     1801-2304  7 50939.        6.           6.      3.        4.        5.      60
B1758-23     1801-2304  8 52093.       26.         646.7      .2       0.9        .2     60
B1758-23     1801-2304  9 53306.98       .01       497.      1.       -1.        1.      60
B1800-21     1803-2137  1 48245.       11.        4074.4      .3       9.3        .1     60, also in 51
